Company,Company Name for Emails,Account Stage,# Employees,Industry,Website,Facebook Url,Prospect Status,Status
Efectivee Myanmar Inbound Marketing Agency,Efectivee Myanmar Inbound Marketing Agency,Cold,2.0,marketing & advertising,https://www.efectivee.com,https://www.facebook.com/EfectiveeMyanmarInboundMarketingAgency/,,
Upmax Digital Marketing Agency,Upmax Digital Marketing Agency,Cold,10.0,marketing & advertising,https://www.upmaxnow.com,https://www.facebook.com/upmaxdigitalmarketing,,Pending
Vitamina. Digital Marketing Agency,Vitamina. Digital Marketing Agency,Cold,10.0,marketing & advertising,https://www.avitamina.pt,https://facebook.com/avitamina.pt,,Pending
"Crypto Marketing Agency ""Crypto-Upvotes""","Crypto Marketing Agency ""Crypto-Upvotes""",Cold,3.0,marketing & advertising,https://www.crypto-upvotes.com,,,Pending
SYR Campaign Solutions,SYR Campaign Solutions,Cold,2.0,marketing & advertising,https://www.syrcampaigns.com,,,Pending
Eclipse Advertising Agency,Eclipse Advertising Agency,Cold,7.0,marketing & advertising,https://www.eclipseadagency.com,https://www.facebook.com/Eclipse.EA/,,Pending
Flow Advertising Agency,Flow Advertising Agency,Cold,2.0,marketing & advertising,https://www.flowadvertisingagency.com,https://www.facebook.com/flowadvertisingagency,,Pending
S3 Advertising Agency,S3 Advertising Agency,Cold,6.0,marketing & advertising,https://www.s3advertising.agency,,,Pending
Ready to go,Ready to go,Cold,5.0,marketing & advertising,https://www.weareallai.com,,,Pending
Tossico Marketing Agency,Tossico Marketing Agency,Cold,1.0,marketing & advertising,https://www.tossicoagency.com,https://www.facebook.com/profile.php,,Pending
Optimize Marketing Agency,Optimize Marketing Agency,Cold,2.0,marketing & advertising,https://www.optimize.org,https://www.facebook.com/pages/Optimize/682228581822942,,Pending
BluePrint Advertising Agency,BluePrint Advertising Agency,Cold,5.0,marketing & advertising,https://www.blueprintadagency.com,https://www.facebook.com/BluePrintAdvertisingAgency,,Pending
Big Rock Marketing Agency,Big Rock Marketing Agency,Cold,4.0,marketing & advertising,https://www.wearebigrock.com,,,Pending
Mehnav Marketing Agency,Mehnav Marketing Agency,Cold,3.0,marketing & advertising,https://www.mehnav.com,https://web.facebook.com/Mehniv,,Pending
The Marketing Agency,The Marketing Agency,Cold,3.0,marketing & advertising,https://www.the-marketingagency.co.uk,,,Pending
Edinburgh Marketing,Edinburgh Marketing,Cold,4.0,marketing & advertising,https://www.edinburghevents.org,,,Pending
The Hyper Fuel | Digital Marketing Agency,The Hyper Fuel,Cold,7.0,marketing & advertising,https://www.thehyperfuel.com,,,Pending
Pinnacle Advertising Agency,Pinnacle Advertising Agency,Cold,8.0,marketing & advertising,https://www.pinnacleadvertising.net,,,Pending
RKX Advertising Agency,RKX Advertising Agency,Cold,5.0,marketing & advertising,https://www.rkxadvertising.com,https://web.facebook.com/profile.php,,Pending
EVENGERZ -Digital Marketing Agency,EVENGERZ -Digital Marketing Agency,Cold,1.0,marketing & advertising,https://www.evengerz.com,,,Pending
Nemour Marketing Agency,Nemour Marketing Agency,Cold,1.0,marketing & advertising,https://www.nemourstudio.com,,,Pending
LeftLeads Technology Marketing Agency,LeftLeads Technology Marketing Agency,Cold,8.0,marketing & advertising,https://www.leftleads.com,https://facebook.com/leftleads/,,Pending
Agence marketing PepsWork,Agence marketing PepsWork,Cold,5.0,marketing & advertising,https://www.pepswork.com,https://www.facebook.com/pepswork,,Pending
Endless Marketing Agency,Endless Marketing Agency,Cold,9.0,marketing & advertising,https://www.endlessdigitalagency.com,,,Pending
Bloom Marketing Agency,Bloom Marketing Agency,Cold,8.0,marketing & advertising,https://www.bloommarketing.co.za,https://www.facebook.com/noxluthuli,,Pending
Bulk Marketing Agency,Bulk Marketing Agency,Cold,5.0,marketing & advertising,https://www.bma-jo.com,,,Pending
Momentum Marketing Agency,Momentum Marketing Agency,Cold,7.0,marketing & advertising,https://www.momentumresults.com,,,Pending
AdNIKA | Growth Marketing Agency,AdNIKA,Cold,5.0,marketing & advertising,https://www.adnika.com,https://www.facebook.com/Adnikainc/,,Pending
KaizIn,KaizIn,Cold,10.0,marketing & advertising,https://www.kaiz-in.com,,,Pending
Amplify Marketing Agency,Amplify Marketing Agency,Cold,10.0,marketing & advertising,https://www.amplifydubai.com,https://www.facebook.com/AmplifyMarketingAgency/,,Pending
DijitalKlinik | Creative Marketing Agency,DijitalKlinik,Cold,5.0,marketing & advertising,https://www.dijitalklinik.com,,,Pending
Experience marketing agency,Experience marketing agency,Cold,2.0,marketing & advertising,https://www.experience.marketing,,,Pending
PMYB Influencer Marketing Agency,PMYB Influencer Marketing Agency,Cold,2.0,marketing & advertising,https://www.pmyb.co.uk,,,Pending
LtsThink Marketing Agency,LtsThink Marketing Agency,Cold,6.0,marketing & advertising,https://www.ltsthink.com,,,Pending
OraDMA Digital Marketing Agency,OraDMA Digital Marketing Agency,Cold,5.0,marketing & advertising,https://www.oradma.co.ke,,,Pending
CROSS Digital Marketing Agency,CROSS Digital Marketing Agency,Cold,4.0,marketing & advertising,https://www.crossdma.com,https://facebook.com/crossdma,,Pending
Brick Marketing - Digital Marketing Agency,Brick Marketing,Cold,5.0,marketing & advertising,https://www.brickmarketing.com,https://www.facebook.com/brickmarketing,,Pending
AARK Marketing Agency,AARK Marketing Agency,Cold,6.0,marketing & advertising,https://www.aarkagency.com,https://www.facebook.com/AARKMarketingagency/,,Pending
Ascend Advertising Agency,Ascend Advertising Agency,Cold,3.0,marketing & advertising,https://www.ascendagency.com,https://www.facebook.com/ascend/,,Pending
Singularity Advertising Agency,Singularity Advertising Agency,Cold,7.0,marketing & advertising,http://www.singularityad.agency,,,Pending
Level Advertising Agency,Level Advertising Agency,Cold,3.0,marketing & advertising,http://www.level-ks.com,,,Pending
Elevate | Digital Marketing Agency,Elevate,Cold,4.0,marketing & advertising,http://www.elevatemarketing.agency,https://www.facebook.com/ELEVATEMARKETING.DESIGN/,,Pending
Enlmtd Group - Marketing Agency,Enlmtd Group,Cold,7.0,marketing & advertising,http://www.enlmtd.com,,,Pending
Gingee Marketing Agency - ג'ינג'י,Gingee Marketing Agency,Cold,3.0,marketing & advertising,http://www.gingee.io,,,Pending
OUTA Marketing Agency,OUTA Marketing Agency,Cold,1.0,marketing & advertising,http://www.outamarketing.com,https://www.facebook.com/outaamarketingagency/,,Pending
Elevar Growth - Marketing Agency,Elevar Growth,Cold,9.0,marketing & advertising,http://www.elevargrowth.com,,,Pending
Hiraya Digital | Marketing Agency,Hiraya Digital,Cold,10.0,marketing & advertising,http://www.hirayamnl.com,https://www.facebook.com/HirayaMNLx/,,Pending
GANG MINDS | Advertising Agency,GANG MINDS,Cold,2.0,marketing & advertising,http://www.gangminds.com,,,Pending
Kaizen Advertising Agency,Kaizen Advertising Agency,Cold,8.0,marketing & advertising,http://www.kaizen-egypt.com,,,Pending
Pixel Arabia Marketing Agency,Pixel Arabia Marketing Agency,Cold,10.0,marketing & advertising,http://www.pixel-arabia.com,https://facebook.com/pixelarabia.net,,Pending
CLEVER Influencer Marketing Agency,CLEVER Influencer Marketing Agency,Cold,9.0,marketing & advertising,,https://www.facebook.com/CleverGirlsCollective,,Pending
Further - Digital Marketing Agency,Further,Cold,2.0,marketing & advertising,http://www.further-digital.com,https://www.facebook.com/Further-Digital-176822596352155,,Pending
360 Online Marketing Agency,360 Online Marketing Agency,Cold,3.0,marketing & advertising,http://www.360-online.co.za,https://www.facebook.com/zebra360online/,,Pending
IMPRESSIONS - Digital Marketing Agency,IMPRESSIONS,Cold,9.0,marketing & advertising,http://www.impressionsdgtl.com,https://www.facebook.com/pg/ImpressionsDgtl,,Pending
CONCEPTION Advertising Agency,CONCEPTION Advertising Agency,Cold,4.0,marketing & advertising,http://www.conception-eg.com,https://www.facebook.com/conceptionadv,,Pending
Upscale Media | Restaurant Digital Marketing Agency Dubai,Upscale Media,Cold,4.0,marketing & advertising,http://www.upscalemedia.ae,https://www.facebook.com/UpscaleMedia.ae,,Pending
Rebound Advertising Agency,Rebound Advertising Agency,Cold,8.0,marketing & advertising,http://www.reboundads.com,https://www.facebook.com/ReboundAds,,Pending
Toucan Insights • Digital Marketing Agency,Toucan Insights • Digital Marketing Agency,Cold,6.0,marketing & advertising,http://www.toucaninsights.com,,,Pending
Studio3digital | Digital Marketing Agency Dubai,Studio3digital,Cold,10.0,marketing & advertising,http://www.studio3digital.com,,,Pending
*Target4Biz* communication & digital marketing agency,*Target4Biz* communication & digital marketing agency,Cold,8.0,marketing & advertising,http://www.target4biz.eu,,,Pending
Elements Advertising Agency,Elements Advertising Agency,Cold,5.0,marketing & advertising,http://www.elementsage.com,,,Pending
Webima Digital Marketing Agency,Webima Digital Marketing Agency,Cold,5.0,marketing & advertising,http://www.webima.co,https://www.facebook.com/webimaco,,Pending
Zelta Media - Growth Marketing Agency,Zelta Media,Cold,10.0,marketing & advertising,http://www.zeltamedia.com,,,Pending
GPARTNER Advertising Agency,GPARTNER Advertising Agency,Cold,1.0,marketing & advertising,http://www.gpartner.co.il,,,Pending
Story Advertising Agency,Story Advertising Agency,Cold,6.0,marketing & advertising,http://www.storyjo.com,,,Pending
Stand UP Advertising agency,Stand UP Advertising agency,Cold,10.0,marketing & advertising,http://www.thestandup.lt,https://www.facebook.com/standupLT/,,Pending
Shuttle Marketing Agency,Shuttle Marketing Agency,Cold,10.0,marketing & advertising,http://www.shuttle.com.au,https://www.facebook.com/shuttleagency,,Pending
Hallaron Advertising Agency,Hallaron Advertising Agency,Cold,8.0,marketing & advertising,http://www.hallaron.com,https://facebook.com/HallaronAdvertising,,Pending
Grassroots Advertising Agency - Kuwait,Grassroots Advertising Agency,Cold,7.0,marketing & advertising,http://www.gaakw.com,,,Pending
Promo Line Advertising Agency. S.A.E,Promo Line Advertising Agency. S.A.E,Cold,2.0,marketing & advertising,http://www.promoline-eg.com,https://www.facebook.com/PromoLineAgency,,Pending
Rocket Marketing Agency,Rocket Marketing Agency,Cold,3.0,marketing & advertising,http://www.rocketdma.com,,,Pending
HA Marketing Agency,HA Marketing Agency,Cold,4.0,marketing & advertising,http://www.hamarketing.am,,,Pending
Ultra Envision Advertising Agency,Ultra Envision Advertising Agency,Cold,1.0,marketing & advertising,http://www.ultraenvision.com,,,Pending
Hotels.ru,Hotels.ru,Cold,7.0,"leisure, travel & tourism",http://www.hotels.ru,https://www.facebook.com/Hotels.ru,,Pending
Hotéis Agora,Hotéis Agora,Cold,1.0,"leisure, travel & tourism",http://www.hoteisagora.com,,,Pending
KashTrip,KashTrip,Cold,1.0,"leisure, travel & tourism",http://www.ganetelzohortrade.com,,,Pending
Challenge Jet Charter,Challenge Jet Charter,Cold,4.0,airlines/aviation,http://www.challengejetcharter.com,https://www.facebook.com/flyCJC/,,Pending
Truly Egypt Tours,Truly Egypt Tours,Cold,3.0,"leisure, travel & tourism",http://www.trulyegypt.com,https://www.facebook.com/TrulyEgypt/,,Pending
"Airbeas Travel Limited, The Americas",Airbeas Travel Limited The Americas,Cold,2.0,"leisure, travel & tourism",http://www.airbeastravel.com,https://www.facebook.com/airbeastravel/,,Pending
Traveloguers,Traveloguers,Cold,1.0,"leisure, travel & tourism",http://www.traveloguers.com,https://www.facebook.com/Traveloguers.Tours/,,Pending
Vietnam Tickets - Đại Lý Bán Vé Máy Bay Chuyên Nghiệp,Vietnam Tickets,Cold,1.0,"leisure, travel & tourism",http://www.vietnam-tickets.com,,,Pending
Vio Travel,Vio Travel,Cold,8.0,"leisure, travel & tourism",http://www.vio.travel,https://www.facebook.com/Vio-Travel-108757781470560/,,Pending
Startbooking.com,Startbooking.com,Cold,3.0,"leisure, travel & tourism",http://www.startbooking.com,https://www.facebook.com/startbooking,,Pending
Hotelinx,Hotelinx,Cold,5.0,"leisure, travel & tourism",http://www.hotelinx.com,https://www.facebook.com/hotelinx,,Pending
Parma Incoming,Parma Incoming,Cold,6.0,"leisure, travel & tourism",http://www.parmaincomingtravel.com,https://www.facebook.com/PARMAINCOMING,,Pending
Uranus Travel & Tourism,Uranus Travel & Tourism,Cold,2.0,"leisure, travel & tourism",http://www.uranustravel-bh.com,,,Pending
Lets travel to Iran,Lets travel to Iran,Cold,5.0,"leisure, travel & tourism",http://www.letstravel.ir,,,Pending
Shop Your Travel,Shop Your Travel,Cold,1.0,"leisure, travel & tourism",http://www.shopyourtravel.com,,,Pending
Halal Holidays,Halal Holidays,Cold,3.0,"leisure, travel & tourism",http://www.halalholidays.com.bd,,,Pending
Planet Travel Network,Planet Travel Network,Cold,6.0,"leisure, travel & tourism",http://www.planettravelnetwork.com,,,Pending
Overseas Holidays Travel & Tours,Overseas Holidays Travel & Tours,Cold,4.0,"leisure, travel & tourism",http://www.overseasholidays.com.my,,,Pending
Business Booking International,Business Booking International,Cold,8.0,"leisure, travel & tourism",http://www.bbih.nl,https://facebook.com/BusinessBookingInternational,,Pending
Kenya Geographic,Kenya Geographic,Cold,2.0,"leisure, travel & tourism",http://www.kenyageographic.com,,,Pending
Hariom Travels Congo,Hariom Travels Congo,Cold,2.0,"leisure, travel & tourism",http://www.hariomtravels.com,,,Pending
Cordiant TravelTech- myportal.travel,Cordiant TravelTech- myportal.travel,Cold,1.0,"leisure, travel & tourism",http://www.myportal.travel,,,Pending
Hotel booking online,Hotel booking online,Cold,3.0,"leisure, travel & tourism",http://www.citymeetnight.com,,,Pending
Azonica,Azonica,Cold,1.0,"leisure, travel & tourism",http://www.azonica.com,https://www.facebook.com/azonica/,,Pending
CEYSAID,CEYSAID,Cold,8.0,"leisure, travel & tourism",http://www.ceysaid.lk,,,Pending
Sarah's Travel Booking,Sarah's Travel Booking,Cold,1.0,"leisure, travel & tourism",http://www.sarahstravelbooking.com,,,Pending
Wholesale Hotels Group,Wholesale Hotels Group,Cold,1.0,"leisure, travel & tourism",http://www.low-tels.com,https://www.facebook.com/whotelsgroup,,Pending
"The Destination Lounge, Independent Travel Agencies",The Destination Lounge Independent Travel Agencies,Cold,3.0,"leisure, travel & tourism",http://www.thedestinationlounge.co.uk,https://facebook.com/thedestinationlounge,,Pending
PersiaTravelingCenter,PersiaTravelingCenter,Cold,8.0,"leisure, travel & tourism",http://www.persiatravelingcenter.com,,,Pending
BTG Overseas Tourism Corp.,BTG Overseas Tourism,Cold,6.0,"leisure, travel & tourism",http://www.btgtravel.com,,,Pending
Exotic Holiday Mauritius - DMC,Exotic Holiday Mauritius,Cold,2.0,"leisure, travel & tourism",http://www.exoticholidaymauritius.com,https://www.facebook.com/mauritiusdmc/,,Pending
Willy App,Willy App,Cold,10.0,"leisure, travel & tourism",http://www.getwilly.io,https://www.facebook.com/WillyHotelBook/,,Pending
Triphop,Triphop,Cold,3.0,hospitality,http://www.triphop.com,,,Pending
Third Eye Adventure Pvt Ltd,Third Eye Adventure Pvt,Cold,3.0,"leisure, travel & tourism",http://www.thirdeyeadventure.com,https://www.facebook.com/thirdeyeadventure/,,Pending
TourDubai.Agency,TourDubai.Agency,Cold,5.0,"leisure, travel & tourism",http://www.tourdubai.agency,,,Pending
Mavi Rota Tour,Mavi Rota Tour,Cold,6.0,"leisure, travel & tourism",http://www.mavirotatour.com,https://www.facebook.com/mavirotaturizm/,,Pending
AIROVISA TOURISM,AIROVISA TOURISM,Cold,1.0,"leisure, travel & tourism",http://www.airovisa.com,https://www.facebook.com/AIROVISA,,Pending
Magic Egypt Travel,Magic Egypt Travel,Cold,3.0,"leisure, travel & tourism",http://www.magicegypttravel.net,,,Pending
Mytrip NG - Online Travel Booking,Mytrip NG,Cold,2.0,"leisure, travel & tourism",http://www.mytrip.ng,https://www.facebook.com/mytripnigeria,,Pending
Agazat Club.Travel,Agazat Club.Travel,Cold,6.0,hospitality,http://www.agazatclub.travel,https://www.facebook.com/agazatclubeg,,Pending
Suhbat Al Khair,Suhbat Al Khair,Cold,9.0,"leisure, travel & tourism",http://www.suhbat-alkhair.com,,,Pending
Essence Roofing and Building Services Ltd,Essence Roofing and Building Services,Cold,7.0,construction,http://www.essencebuilding.co.uk,,,Pending
RTI Roofing,RTI Roofing,Cold,1.0,construction,http://www.rtiservicesinc.com,https://facebook.com/pages/RTI-Services-Inc/329174873942504,,Pending
Proctor Roofing,Proctor Roofing,Cold,7.0,construction,http://www.proctorroofing.co.uk,https://www.facebook.com/pages/Proctor-Roofing/133041106719348,,Pending
Gribben Solar Roofing,Gribben Solar Roofing,Cold,3.0,construction,http://www.gribbenroofing.com,,,Pending
D Adams & Sons Roofing LTD,D Adams & Sons Roofing,Cold,8.0,construction,http://www.dadamsroofing.co.uk,,,Pending
DRAGON ROOFING & CLADDING LTD,DRAGON ROOFING & CLADDING,Cold,6.0,construction,http://www.dragoncladding.co.uk,,,Pending
"American Shield Roofing and Construction, LLC",American Shield Roofing and Construction,Cold,3.0,construction,http://www.americanshieldroofing.com,,,Pending
,,,,,,,,Pending
